"Var1"	"Var2"	"value"	"pvalue"
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales"	"TRINITY_DN102902_c0_g1_i1"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae"	"TRINITY_DN102902_c0_g1_i1"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella"	"TRINITY_DN102902_c0_g1_i1"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi"	"TRINITY_DN125192_c2_g1_i1"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales"	"TRINITY_DN125192_c2_g1_i1"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae"	"TRINITY_DN125192_c2_g1_i1"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Firmicutes"	"TRINITY_DN140335_c3_g1_i1"	0.87831006565368	0.0213116411287566
"k__Bacteria.p__Firmicutes.c__Clostridia"	"TRINITY_DN140335_c3_g1_i1"	0.87831006565368	0.0213116411287566
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales"	"TRINITY_DN140335_c3_g1_i1"	0.87831006565368	0.0213116411287566
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Porphyromonas"	"TRINITY_DN140335_c3_g1_i1"	0.933256525257383	0.00653337633891526
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus"	"TRINITY_DN140335_c3_g1_i1"	0.87831006565368	0.0213116411287566
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__distasonis"	"TRINITY_DN140335_c3_g1_i1"	0.87831006565368	0.0213116411287566
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Porphyromonas.s__"	"TRINITY_DN140335_c3_g1_i1"	0.933256525257383	0.00653337633891526
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia"	"TRINITY_DN144720_c1_g1_i6"	-0.828078671210825	0.0417946804560452
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales"	"TRINITY_DN144720_c1_g1_i6"	-0.828078671210825	0.0417946804560452
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae"	"TRINITY_DN144720_c1_g1_i6"	-0.828078671210825	0.0417946804560452
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella"	"TRINITY_DN144720_c1_g1_i6"	-0.828078671210825	0.0417946804560452
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium"	"TRINITY_DN144653_c7_g8_i1"	-0.942857142857143	0.0048046647230322
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__prausnitzii"	"TRINITY_DN144653_c7_g8_i1"	-0.942857142857143	0.0048046647230322
"k__Bacteria.p__Firmicutes.c__Bacilli"	"TRINITY_DN144690_c1_g2_i6"	-0.869656553478673	0.0243768916856908
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Phascolarctobacterium"	"TRINITY_DN144690_c1_g2_i6"	0.811679449913428	0.0498575851013405
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Phascolarctobacterium.s__"	"TRINITY_DN144690_c1_g2_i6"	0.811679449913428	0.0498575851013405
"k__Bacteria.p__Proteobacteria"	"TRINITY_DN145645_c0_g1_i6"	0.833238089795296	0.0393955164788511
"k__Bacteria.p__Firmicutes.c__Bacilli"	"TRINITY_DN145645_c0_g1_i6"	-0.833238089795296	0.0393955164788511
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Catenibacterium"	"TRINITY_DN145645_c0_g1_i14"	-0.891132788679007	0.0171329536628599
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__adolescentis"	"TRINITY_DN145645_c0_g1_i14"	-0.87831006565368	0.0213116411287566
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__aerofaciens"	"TRINITY_DN145645_c0_g1_i14"	-0.87831006565368	0.0213116411287566
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Catenibacterium.s__"	"TRINITY_DN145645_c0_g1_i14"	-0.891132788679007	0.0171329536628599
"k__Bacteria.p__Firmicutes"	"TRINITY_DN145655_c4_g1_i2"	0.898645105261295	0.0148886220055804
"k__Bacteria.p__Firmicutes.c__Clostridia"	"TRINITY_DN145655_c4_g1_i2"	0.84066800169605	0.0360575728451593
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales"	"TRINITY_DN145655_c4_g1_i2"	0.84066800169605	0.0360575728451593
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Porphyromonas"	"TRINITY_DN145655_c4_g1_i2"	0.954863710632231	0.00300994919281772
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus"	"TRINITY_DN145655_c4_g1_i2"	0.811679449913428	0.0498575851013405
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Porphyromonas.s__"	"TRINITY_DN145655_c4_g1_i2"	0.954863710632231	0.00300994919281772
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia"	"TRINITY_DN145297_c11_g1_i1"	-0.845154254728517	0.0341094231674095
