tax.id	count
Anaerostipes hadrus	1
Bacteriophage sp.	1
Bacteroides caccae	1
Bacteroides dorei	6
Bacteroides faecis	1
Bacteroides humanifaecis	1
Bacteroides ovatus	3
Bacteroides stercoris	1
Bacteroides thetaiotaomicron	1
Bacteroides uniformis	1
Bacteroides xylanisolvens	4
Bifidobacterium pseudocatenulatum	2
Blautia massiliensis	1
Blautia wexlerae	3
Caudovirales sp.	2
Clostridiales sp.	1
Coprococcus comes	1
Dorea longicatena	4
Dysosmobacter sp.	1
Escherichia coli	1
Eubacterium eligens	2
Eubacterium rectale	1
Eubacterium sp.	2
Eubacterium ventriosum	1
Faecalibacterium duncaniae	3
Faecalibacterium prausnitzii	58
Faecalibacterium sp.	27
Flavonifractor plautii	1
Lachnospiraceae bacterium	3
Microviridae sp.	1
Myoviridae sp.	3
Parabacteroides johnsonii	2
Parabacteroides merdae	5
Paraprevotella xylaniphila	1
Phocaeicola dorei	1
Phocaeicola vulgatus	8
Pseudoclostridium thermosuccinogenes	2
Pusillimonas faecalis	1
Romboutsia ilealis	3
Romboutsia sp.	1
Roseburia sp.	1
Ruminococcus bicirculans	2
Ruminococcus sp.	2
Ruminococcus torques	2
Simiaoa sunii	1
Siphoviridae sp.	5
Subdoligranulum variabile	2
Uncultured bacterium clone	2
Uncultured human fecal virus clone	10
Uncultured organism	1
Vitreoscilla sp.	1
uncultured Blautia sp.	1
