transcript.id	024_B2	074_B2	090_subseq	146_B1	153_B3	258_B3
TRINITY_DN144465_c6_g1_i3	37	0	1	2	0	26
TRINITY_DN144708_c3_g1_i8	0	1	6	47	0	9
TRINITY_DN145458_c4_g1_i1	18	0	22	3	0	19
TRINITY_DN145435_c1_g1_i3	10	0	35	0	5	2
TRINITY_DN144616_c7_g3_i9	2	0	8	34	0	7
TRINITY_DN141075_c3_g1_i1	17	25	0	1	0	4
TRINITY_DN145752_c9_g3_i1	11	0	1	0	4	30
TRINITY_DN70273_c9_g4_i1	26	0	2	4	0	13
TRINITY_DN141994_c15_g1_i7	29	12	0	2	0	1
TRINITY_DN143516_c8_g1_i1	4	0	6	0	7	22
TRINITY_DN143775_c12_g5_i4	4	0	1	19	0	14
TRINITY_DN142785_c1_g1_i1	15	0	7	0	3	13
TRINITY_DN144643_c3_g1_i1	2	0	1	23	0	8
TRINITY_DN142033_c3_g2_i1	11	0	4	0	16	1
TRINITY_DN143867_c81_g1_i3	2	0	9	16	0	2
TRINITY_DN144633_c0_g1_i1	26	0	1	1	0	1
TRINITY_DN143156_c8_g1_i3	2	0	7	1	0	18
TRINITY_DN145292_c1_g1_i1	10	0	3	12	0	3
TRINITY_DN143218_c3_g1_i1	3	0	2	0	2	19
TRINITY_DN144114_c2_g1_i1	14	0	2	1	0	7
TRINITY_DN140061_c3_g1_i4	0	15	1	3	0	2
TRINITY_DN140874_c2_g1_i6	1	0	1	15	0	3
TRINITY_DN144616_c7_g3_i10	2	0	3	1	0	13
TRINITY_DN144616_c7_g3_i13	6	0	1	1	0	10
TRINITY_DN145098_c7_g1_i1	1	0	5	9	0	3
TRINITY_DN142388_c1_g1_i2	6	0	5	0	4	3
TRINITY_DN145772_c1_g1_i3	2	0	5	8	0	2
TRINITY_DN137054_c3_g1_i1	6	0	1	2	0	7
TRINITY_DN144044_c6_g1_i2	1	0	1	6	0	8
TRINITY_DN1311281_c5_g1_i1	2	9	0	2	0	1
TRINITY_DN136198_c0_g3_i1	4	0	1	2	0	7
TRINITY_DN143273_c2_g1_i1	4	0	1	1	0	8
TRINITY_DN139116_c3_g1_i4	1	0	3	5	0	4
TRINITY_DN145571_c1_g1_i8	0	3	2	6	0	1
TRINITY_DN144559_c1_g1_i11	2	0	1	7	0	1
TRINITY_DN144384_c5_g1_i3	2	0	1	2	0	5
TRINITY_DN141702_c1_g2_i1	2	0	3	1	0	1
TRINITY_DN142596_c3_g1_i2	2	0	1	1	0	3
TRINITY_DN145216_c2_g1_i2	1	1	0	1	0	4
TRINITY_DN143140_c4_g1_i2	3	0	1	1	0	2
TRINITY_DN142174_c7_g1_i1	2	0	2	0	1	1
TRINITY_DN127733_c0_g2_i2	1	0	2	1	0	1
TRINITY_DN145700_c5_g7_i1	19	0	2	1810	0	0
TRINITY_DN145694_c4_g1_i4	2	0	1	412	0	0
TRINITY_DN391824_c1_g1_i1	179	0	1	0	0	63
TRINITY_DN140448_c4_g7_i2	3	0	1	0	223	0
TRINITY_DN137133_c9_g1_i1	2	89	0	92	0	0
TRINITY_DN145733_c3_g1_i1	2	0	5	0	0	170
TRINITY_DN136668_c3_g2_i2	2	0	2	140	0	0
TRINITY_DN1090249_c1_g1_i1	8	0	1	106	0	0
TRINITY_DN143985_c1_g7_i1	43	0	19	0	0	49
TRINITY_DN143876_c11_g4_i1	53	0	2	0	0	53
TRINITY_DN145098_c6_g1_i1	83	0	1	0	0	24
TRINITY_DN144632_c9_g3_i1	47	0	19	0	0	32
TRINITY_DN140466_c1_g1_i9	0	82	1	0	0	4
TRINITY_DN145786_c1_g1_i4	53	1	0	0	0	33
TRINITY_DN144771_c2_g7_i2	33	0	11	0	0	40
TRINITY_DN144811_c2_g1_i2	32	0	8	0	0	44
TRINITY_DN60060_c0_g9_i1	6	0	56	0	0	20
TRINITY_DN144610_c1_g1_i1	49	0	1	0	0	27
TRINITY_DN145502_c1_g1_i5	0	2	14	0	0	43
TRINITY_DN140823_c6_g1_i4	10	0	2	0	0	47
TRINITY_DN1312543_c0_g2_i1	7	18	0	0	0	32
TRINITY_DN144937_c0_g1_i11	2	0	8	0	0	46
TRINITY_DN145295_c7_g1_i8	1	0	2	0	0	51
TRINITY_DN6818_c3_g1_i1	0	0	26	0	0	21
TRINITY_DN144731_c2_g1_i1	2	0	1	43	0	0
TRINITY_DN143981_c3_g1_i2	17	0	5	0	0	24
TRINITY_DN145768_c0_g1_i4	11	0	5	0	0	29
TRINITY_DN145016_c4_g1_i5	3	0	21	0	0	20
TRINITY_DN142402_c3_g5_i2	12	0	4	0	0	28
TRINITY_DN145355_c1_g1_i3	2	0	27	0	0	15
TRINITY_DN143683_c0_g2_i1	18	0	23	0	0	2
TRINITY_DN145075_c9_g1_i1	7	0	7	0	0	29
TRINITY_DN145190_c4_g1_i1	1	0	1	41	0	0
TRINITY_DN145264_c2_g1_i1	29	0	4	0	0	9
TRINITY_DN145190_c3_g1_i9	1	0	1	40	0	0
TRINITY_DN142485_c6_g9_i2	7	0	16	0	0	17
TRINITY_DN144448_c2_g1_i3	0	26	10	0	0	3
TRINITY_DN385865_c1_g1_i1	34	0	1	0	0	1
TRINITY_DN144518_c0_g1_i3	5	0	1	29	0	0
TRINITY_DN143020_c3_g1_i1	5	28	0	0	0	1
TRINITY_DN143227_c3_g4_i4	27	0	5	0	0	2
TRINITY_DN142115_c6_g1_i3	1	0	1	0	31	0
TRINITY_DN135543_c0_g2_i1	1	0	2	0	0	29
TRINITY_DN140607_c1_g1_i1	1	6	0	25	0	0
TRINITY_DN144823_c1_g2_i1	3	0	25	0	2	0
TRINITY_DN143119_c4_g2_i2	6	0	16	0	0	6
TRINITY_DN142562_c4_g9_i3	13	0	3	0	0	12
TRINITY_DN136156_c0_g2_i2	0	5	1	0	0	22
TRINITY_DN141725_c1_g2_i1	13	0	9	0	0	5
TRINITY_DN144044_c6_g1_i4	2	0	1	0	0	24
TRINITY_DN143169_c2_g1_i6	21	0	1	0	0	4
