transcript.id	024_B2	074_B2	090_subseq	146_B1	153_B3	258_B3
TRINITY_DN145373_c0_g1_i2	3	1	6	1	1	3
TRINITY_DN145401_c1_g1_i2	36	1	10	199	1	19
TRINITY_DN145854_c3_g1_i2	38	1	2	106	5	14
TRINITY_DN145839_c0_g1_i20	5	1	1	619	1	6
TRINITY_DN141075_c3_g1_i1	18	26	1	2	1	5
TRINITY_DN141075_c3_g1_i2	9	3	2	1	1	1
TRINITY_DN144474_c1_g1_i1	3	1	8	1	1	1
TRINITY_DN144465_c6_g1_i3	38	1	2	3	1	27
TRINITY_DN144518_c0_g1_i3	6	1	2	30	1	1
TRINITY_DN144483_c7_g1_i1	1	1	1	1	20	11
TRINITY_DN144291_c5_g7_i1	20	1	1	1048	1	23
TRINITY_DN141713_c1_g2_i1	1	1	1	1	8	3
TRINITY_DN141713_c1_g2_i3	1	9	2	1	1	1
TRINITY_DN131149_c0_g2_i1	4	1	2	1	1	1
TRINITY_DN131100_c0_g1_i5	1	1	1	4	1	5
TRINITY_DN129538_c3_g1_i1	2	1	3	1	4	1
TRINITY_DN134571_c44_g1_i3	213	55	140	742	9	748
TRINITY_DN144747_c1_g1_i4	3	1	6	1	1	1
TRINITY_DN144771_c2_g7_i2	34	1	12	1	1	41
TRINITY_DN144754_c1_g1_i1	20	1	1	3	1	5
TRINITY_DN144811_c2_g1_i1	11	1	4	1	1	2
TRINITY_DN144811_c2_g1_i2	33	1	9	1	1	45
TRINITY_DN144823_c1_g2_i1	4	1	26	1	3	1
TRINITY_DN144825_c5_g1_i5	3	1	1	2	1	9
TRINITY_DN142823_c1_g1_i2	1	1	1	1	14	5
TRINITY_DN142739_c1_g1_i1	11	1	1	1	8	74
TRINITY_DN135950_c1_g1_i1	4	3	2	1	1	2
TRINITY_DN136156_c0_g2_i2	1	6	2	1	1	23
TRINITY_DN136118_c0_g1_i1	3	1	2	1	1	9
TRINITY_DN137258_c5_g1_i6	10	22	2	1	1	29
TRINITY_DN137631_c5_g1_i2	2	1	2	8	1	1
TRINITY_DN136903_c2_g1_i6	1	1	1	6	1	4
TRINITY_DN136922_c1_g3_i3	1	1	1	3	1	3
TRINITY_DN134023_c3_g2_i2	2	1	2	1	1	1
TRINITY_DN144555_c1_g1_i8	1	1	1	2	1	25
TRINITY_DN144624_c4_g1_i1	1	1	1	15	1	15
TRINITY_DN144558_c2_g1_i2	3	1	2	1	1	1
TRINITY_DN144559_c1_g1_i11	3	1	2	8	1	2
TRINITY_DN144610_c1_g1_i1	50	1	2	1	1	28
TRINITY_DN131740_c0_g1_i1	1	1	1	2	1	3
TRINITY_DN144044_c6_g1_i2	2	1	2	7	1	9
TRINITY_DN144044_c6_g1_i4	3	1	2	1	1	25
TRINITY_DN144063_c5_g2_i1	1	100	8	1	31	39
TRINITY_DN142969_c1_g1_i4	2	1	1	2	1	1
TRINITY_DN143020_c3_g1_i1	6	29	1	1	1	2
TRINITY_DN143018_c39_g5_i1	379	1	33	1	83	419
TRINITY_DN143018_c39_g5_i2	1	682	1	1	653	61
TRINITY_DN143018_c44_g10_i2	1	1	1	1	2	10
TRINITY_DN130289_c0_g1_i1	2	1	1	9	1	3
TRINITY_DN131424_c0_g1_i4	1	1	1	4	1	2
TRINITY_DN138312_c4_g6_i3	4	1	10	1	1	14
TRINITY_DN143683_c0_g2_i1	19	1	24	1	1	3
TRINITY_DN143683_c0_g1_i8	4	1	5	1	1	1
TRINITY_DN141378_c0_g1_i1	5	1	2	1	1	6
TRINITY_DN133276_c1_g1_i1	23	1	1	1	34	11
TRINITY_DN145983_c5_g3_i1	46	6	1	1680	1	3
TRINITY_DN142174_c7_g1_i1	3	1	3	1	2	2
