#sampleID	k__Bacteria;p__Bacteroidetes	k__Bacteria;p__Firmicutes	k__Bacteria;p__Proteobacteria	k__Bacteria;p__Actinobacteria;c__Coriobacteriia	k__Bacteria;p__Bacteroidetes;c__Bacteroidia	k__Bacteria;p__Firmicutes;c__Bacilli	k__Bacteria;p__Firmicutes;c__Clostridia	k__Bacteria;p__Firmicutes;c__Erysipelotrichi	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Phascolarctobacterium	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__adolescentis	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Phascolarctobacterium;s__	TRINITY_DN144878_c1_g1_i1	TRINITY_DN134571_c44_g1_i3	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__aerofaciens	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__distasonis	TRINITY_DN143036_c3_g1_i1	TRINITY_DN144653_c7_g8_i1	TRINITY_DN144672_c0_g1_i1	TRINITY_DN145245_c6_g1_i2	TRINITY_DN612741_c0_g1_i1	TRINITY_DN143096_c2_g1_i1	TRINITY_DN145548_c0_g2_i1	TRINITY_DN145050_c1_g1_i3	TRINITY_DN142862_c0_g1_i1	TRINITY_DN144690_c1_g2_i9	TRINITY_DN144633_c0_g1_i1	TRINITY_DN145655_c4_g1_i2	TRINITY_DN145261_c61_g1_i4	TRINITY_DN145292_c1_g1_i1	TRINITY_DN144001_c5_g1_i7	TRINITY_DN144424_c2_g1_i2	TRINITY_DN145360_c4_g1_i1	TRINITY_DN145854_c3_g1_i2	TRINITY_DN144063_c5_g2_i1	TRINITY_DN143018_c39_g5_i1	TRINITY_DN142174_c7_g1_i1	TRINITY_DN142309_c15_g5_i3	TRINITY_DN142033_c4_g1_i1	TRINITY_DN145774_c5_g2_i5	TRINITY_DN145458_c4_g1_i1	TRINITY_DN383657_c1_g2_i1	TRINITY_DN7230_c1_g2_i2	TRINITY_DN127733_c0_g2_i2	TRINITY_DN143156_c8_g1_i3	TRINITY_DN144897_c3_g1_i5	TRINITY_DN145551_c2_g2_i1	TRINITY_DN144690_c1_g2_i6	TRINITY_DN144643_c3_g1_i1	TRINITY_DN145300_c5_g1_i3	TRINITY_DN144384_c5_g1_i3	TRINITY_DN145141_c0_g1_i13	TRINITY_DN138543_c2_g6_i1	TRINITY_DN142388_c1_g1_i2	TRINITY_DN138674_c4_g1_i1	TRINITY_DN145367_c3_g1_i1	TRINITY_DN145401_c1_g1_i2	TRINITY_DN141075_c3_g1_i1	TRINITY_DN144465_c6_g1_i3	TRINITY_DN144771_c2_g7_i2	TRINITY_DN144754_c1_g1_i1	TRINITY_DN144811_c2_g1_i2	TRINITY_DN144823_c1_g2_i1	TRINITY_DN135950_c1_g1_i1	TRINITY_DN137258_c5_g1_i6	TRINITY_DN144044_c6_g1_i2	TRINITY_DN143018_c39_g5_i2	TRINITY_DN133276_c1_g1_i1	TRINITY_DN140874_c2_g1_i6	TRINITY_DN142033_c3_g2_i1	TRINITY_DN145741_c0_g1_i2	TRINITY_DN139116_c3_g1_i4	TRINITY_DN145435_c1_g1_i3	TRINITY_DN145502_c1_g1_i5	TRINITY_DN60060_c0_g9_i1	TRINITY_DN85643_c0_g1_i1	TRINITY_DN1091132_c10_g1_i1
015_NW	0.836443817	0.151208326	0.01038396	0.000470395	0.836443817	0.000270477	0.149797142	0.001140707	0.000470395	0.836443817	0.149797142	0.001140707	0.000470395	0.001140707	0.000470395	0.002116775	0.015911095	0.001517022	4.70E-05	0.015911095	0.001517022	9.3	62.92	0.000470395	4.70E-05	10.08	79.05	1.54	60.99	4.49	44.31	7.17	15.89	14.79	40.05	5.09	25.7	63.49	3.37	9.05	1.01	15.18	40.79	6.62	59.43	2.17	4.24	6	31.9	10.37	88.78	8.06	0	1	12.85	10.12	21.42	19.29	83.02	13.08	3.96	6	2.72	422	18	51.57	38.82	12.43	1.58	0.64	3.61	2.12	1	13.01	8	40.72	27	6	7	27.89	3	36.56	4.88	1	122.99	79.59
024_O	0.403940816	0.560175211	0.030333728	4.28E-05	0.403940816	0.000156948	0.555680797	0.004337466	4.28E-05	0.403940816	0.555680797	0.004337466	4.28E-05	0.004337466	4.28E-05	0.014952844	0.060695992	0.00014268	0.002240073	0.060695992	0.00014268	16.29	212.02	4.28E-05	0.000998759	8.29	17.49	8.74	9.31	47.48	78.98	0.23	394.04	49.07	122.03	25.75	70	1.32	10.15	35.77	9.38	6	37.23	0	377.7	2.43	85.22	4	8.57	18.33	110.85	4	1	2	14	5.67	68.74	2.02	118.19	2	9.55	29	6.04	6	8	35.29	17.21	37.12	33.47	18.99	32.17	2.88	3	9.3	1	0	22	1	11	4.89	1	9.75	0	6.01	631.99	61.66
074_O	0.435522264	0.511352476	0.024511028	0.000524345	0.435522264	0.008555972	0.500399501	0.002397004	0.000524345	0.435522264	0.500399501	0.002397004	0.000524345	0.002397004	0.000524345	0.015613816	0.128980441	4.99E-05	0.011111111	0.128980441	4.99E-05	71	53.79	0.000524345	0.002047441	0	0	3	6	0	6	0	49	51.23	0	0	28	0	0	55	2	4	0	99	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.75	0	0	1	0	31	0	0	25.15	0	0	0	0	0	2	21	0	681.07	0	0	0	0	0	0	2	0	0	0
090_O	0.626698624	0.362021197	0.007564097	4.40E-05	0.626698624	0.003474207	0.357755398	0.000791592	4.40E-05	0.626698624	0.357755398	0.000791592	4.40E-05	0.000791592	4.40E-05	0.007146313	0.059171468	2.20E-05	0.001407274	0.059171468	2.20E-05	14.88	139.24	4.40E-05	0	1	36.91	3.4	10.41	3.67	8	0	1	1	5.29	1	2	93.9	3.07	6.17	1	0	1	6.64	31.68	1.91	9	3	4	21.68	47.39	2	2	7.46	25.37	127.18	0	0.59	0	1	1	1	5	0	0	8.85	0	1.06	11	0	8.01	24.73	1	1	1	0	0	1	4	53.09	3	34.68	13.89	56	1	1
146_OMS	0.719896687	0.204948937	0.053155801	0.002924237	0.719896687	0.000163282	0.183291771	0.021493884	0.002924237	0.719896687	0.183291771	0.021493884	0.002924237	0.021493884	0.002924237	0.006353165	0.018554803	0.009277402	1.48E-05	0.018554803	0.009277402	19.06	741.13	0	1.48E-05	13.96	406.68	8.35	418.74	1	4479.25	3.02	0	0	175.72	1	0	0	12.28	13.05	0	13.23	105.01	0	0	0	0	5	0	2.92	89.33	0	1	1	0	0	79.1	22.56	214.06	2.1	0	0	0	0	0	197.86	1	2.02	0	2	0	0	0	0	6	0	0	15.02	0	0	5	0	0	0	1	4601.13
153_OMS	0.426229508	0.41836124	0.126797367	0.000335752	0.426229508	0.000846678	0.412273915	0.005240646	0.000335752	0.426229508	0.412273915	0.005240646	0.000335752	0.005240646	0.000335752	0.005182255	0.031239508	0.005240646	0.002773601	0.031239508	0.005240646	1	7.67	0.000335752	0.000160577	2	55	0	0	1	0	2	16.61	174	0	0	0	22	0	0	4	0	3.97	30	82.03	0.93	7	26	12	0	0	69	0	0	0	89.25	4.71	0	0	0	0	0	4	249	15	0	0	0	0	0	0	2	0	0	0	651.72	33	0	16	42.27	0	4.75	0	0	0	0
164_NW	0.708559037	0.272647647	0.010859305	0.000263617	0.708559037	0.000280624	0.270122029	0.002244993	0.000263617	0.708559037	0.270122029	0.002244993	0.000263617	0.002244993	0.000263617	0.004753603	0.040630979	0.000161571	4.25E-05	0.040630979	0.000161571	8	328.25	0.000263617	0.007262214	4.79	213	2	42	0	0	2	0	0	12	2.43	1	1	1.21	0	2.08	2	0	7	77.37	1.12	36	0	86	5	18	15	6	0	1.02	0	0	0	0	0	1	0	0	0	13	0	0	0	159	5	40	8	0	0	0	372.27	21	0	0	0	0	0	88.5	18	0	0
258_OMS	0.40370409	0.524599781	0.028441188	0.002733309	0.40370409	0.003441623	0.484899446	0.036258713	0.002733309	0.40370409	0.484899446	0.036258713	0.002733309	0.036258713	0.002733309	0.029827397	0.050659644	5.65E-05	0.019254837	0.050659644	5.65E-05	10.55	746.87	0.002733309	0.000417166	6.45	305.77	1	154.25	1.26	477	1	2.01	1.82	37.7	1	44.57	14.48	2.76	8.32	0	182.22	13.4	38.46	418.31	0.99	17.24	4	129.52	19.38	177.97	8	1	18	0	2.35	13.4	7.8	30.9	5.01	1.83	2	3	14	49	18.25	4	26.46	39.77	3.99	43.72	0	1	27.68	8	59.93	10	3	1	12.55	4	1.77	43.4	20.28	94.01	25.5
