"Var1"	"Var2"	"value"	"pvalue"
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia"	"TRINITY_DN612741_c0_g1_i1"	-0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales"	"TRINITY_DN612741_c0_g1_i1"	-0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae"	"TRINITY_DN612741_c0_g1_i1"	-0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella"	"TRINITY_DN612741_c0_g1_i1"	-0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__aerofaciens"	"TRINITY_DN612741_c0_g1_i1"	-0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia"	"TRINITY_DN615414_c0_g1_i1"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales"	"TRINITY_DN615414_c0_g1_i1"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae"	"TRINITY_DN615414_c0_g1_i1"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella"	"TRINITY_DN615414_c0_g1_i1"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__aerofaciens"	"TRINITY_DN615414_c0_g1_i1"	0.845154254728517	0.0341094231674095
"k__Bacteria.p__Firmicutes.c__Bacilli"	"TRINITY_DN143036_c3_g1_i1"	-0.869656553478673	0.0243768916856908
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Phascolarctobacterium"	"TRINITY_DN143036_c3_g1_i1"	0.811679449913428	0.0498575851013405
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Phascolarctobacterium.s__"	"TRINITY_DN143036_c3_g1_i1"	0.811679449913428	0.0498575851013405
"k__Bacteria.p__Firmicutes"	"TRINITY_DN143169_c2_g1_i6"	0.845154254728517	0.0341094231674095
