#OTU ID	258_B3	153_B3	090_subseq	074_B2	146_B1	015_B4	164_B1	024_B2
TRINITY_DN120464_c0_g1_i1	1.0	0.0	0.0	0.0	19.0	1.0	0.0	2.0
TRINITY_DN137096_c2_g1_i1	1.0	0.0	1.25	0.0	0.0	0.0	0.0	1.0
TRINITY_DN137096_c3_g3_i1	4.0	0.0	0.0	0.0	1.0	5.0	0.0	2.0
TRINITY_DN143985_c1_g7_i1	49.0	0.0	19.0	0.0	0.0	25.0	0.0	42.92
TRINITY_DN144001_c5_g1_i7	8.32	0.0	6.17	55.0	13.05	9.05	0.0	35.77
TRINITY_DN143974_c9_g2_i1	2.0	0.0	1.0	0.0	0.0	5.0	0.0	1.0
TRINITY_DN144025_c2_g1_i1	1.0	12.0	0.0	0.0	0.0	39.0	0.0	24.0
TRINITY_DN140448_c4_g7_i2	0.0	223.0	1.0	0.0	0.0	2.0	0.0	3.0
TRINITY_DN133076_c0_g4_i1	30.0	0.0	2.0	0.0	42.46	0.0	0.0	1.15
TRINITY_DN144424_c2_g1_i2	0.0	4.0	1.0	2.0	0.0	1.01	2.08	9.38
TRINITY_DN144415_c2_g1_i4	30.84	0.0	0.0	0.0	522.06	8.07	0.0	26.7
TRINITY_DN144384_c5_g1_i3	5.01	0.0	1.0	0.0	2.1	13.08	0.0	2.0
TRINITY_DN141948_c0_g1_i1	3.0	0.0	3.0	0.0	0.0	3.0	0.0	1.0
TRINITY_DN134643_c0_g1_i1	1.0	0.0	0.0	0.0	10.0	1.0	0.0	0.0
TRINITY_DN144196_c3_g1_i2	0.73	3.0	0.0	0.0	0.0	0.0	0.0	6.56
TRINITY_DN144196_c3_g1_i4	8.27	0.0	1.0	0.0	0.0	30.0	0.0	12.44
TRINITY_DN144187_c0_g1_i10	4.18	0.0	0.0	0.0	21.33	1.0	0.0	0.0
TRINITY_DN145141_c0_g1_i13	1.83	0.0	1.0	0.0	0.0	3.96	1.0	9.55
TRINITY_DN145209_c1_g1_i7	0.32	0.0	3.94	0.0	0.0	0.0	0.0	7.83
TRINITY_DN145228_c1_g1_i7	1.91	0.0	0.0	0.0	1.95	0.0	0.0	1.0
TRINITY_DN136668_c3_g2_i2	0.0	0.0	2.0	0.0	140.14	0.0	0.0	2.0
TRINITY_DN138543_c2_g6_i1	2.0	0.0	1.0	1.0	0.0	6.0	0.0	29.0
TRINITY_DN138543_c2_g6_i2	2.0	0.0	2.0	0.0	0.0	2.0	0.0	1.0
TRINITY_DN142388_c1_g1_i2	3.0	4.0	5.0	0.0	0.0	2.72	0.0	6.04
TRINITY_DN142340_c0_g1_i1	1.23	0.0	0.0	0.0	6.84	1.04	0.0	2.51
TRINITY_DN142402_c3_g5_i2	27.9	0.0	4.0	0.0	0.0	26.0	0.0	12.21
TRINITY_DN143487_c2_g1_i3	0.0	0.0	1.0	0.0	0.79	3.98	0.0	2.0
TRINITY_DN143457_c1_g1_i1	5.0	0.0	1.0	0.0	8.0	0.0	13.0	0.0
TRINITY_DN141022_c2_g2_i1	4.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
TRINITY_DN140952_c1_g1_i1	0.0	0.0	2.23	0.0	0.0	1.98	0.0	4.9
TRINITY_DN138674_c4_g1_i1	14.0	249.0	0.0	31.0	0.0	422.0	0.0	6.0
TRINITY_DN138681_c7_g1_i1	2.0	57.0	0.0	0.0	0.0	52.0	0.0	5.0
TRINITY_DN145391_c5_g1_i6	3.73	0.29	0.0	0.0	0.0	7.86	0.0	8.64
TRINITY_DN145391_c5_g1_i9	8.38	8.05	0.0	0.0	125.58	0.0	0.0	0.0
TRINITY_DN145389_c1_g1_i12	2.0	0.0	6.77	0.0	0.56	0.0	0.0	0.0
TRINITY_DN145360_c4_g1_i1	182.22	0.0	0.0	4.0	13.23	15.18	2.0	6.0
TRINITY_DN145367_c3_g1_i1	49.0	15.0	0.0	0.0	0.0	18.0	13.0	8.0
TRINITY_DN145422_c2_g1_i12	0.0	0.0	2.13	0.0	5.57	1.94	0.0	1.04
TRINITY_DN145373_c0_g1_i2	2.13	0.0	4.53	0.0	0.0	2.03	0.0	2.05
TRINITY_DN145401_c1_g1_i2	18.25	0.0	8.85	0.0	197.86	51.57	0.0	35.29
TRINITY_DN145854_c3_g1_i2	13.4	3.97	1.0	0.0	105.01	40.79	0.0	37.23
TRINITY_DN145839_c0_g1_i20	4.8	0.0	0.0	0.0	618.06	1.18	0.0	3.88
TRINITY_DN141075_c3_g1_i1	4.0	0.0	0.0	25.15	1.0	38.82	0.0	17.21
TRINITY_DN141075_c3_g1_i2	0.0	0.0	1.0	1.85	0.0	4.18	0.0	7.79
TRINITY_DN144474_c1_g1_i1	0.0	0.0	7.02	0.0	0.0	2.12	0.0	1.96
TRINITY_DN144465_c6_g1_i3	26.46	0.0	1.06	0.0	2.02	12.43	0.0	37.12
TRINITY_DN144518_c0_g1_i3	0.0	0.0	1.0	0.0	28.63	1.3	0.0	4.74
TRINITY_DN144483_c7_g1_i1	10.0	19.0	0.0	0.0	0.0	25.2	9.0	0.0
TRINITY_DN144291_c5_g7_i1	21.52	0.0	0.0	0.0	1046.5	8.98	0.0	18.98
TRINITY_DN141713_c1_g2_i1	2.0	7.0	0.0	0.0	0.0	11.31	0.0	0.0
TRINITY_DN141713_c1_g2_i3	0.0	0.0	1.0	8.0	0.0	3.69	0.0	0.0
TRINITY_DN131149_c0_g2_i1	0.0	0.0	1.0	0.0	0.0	2.0	0.0	3.0
TRINITY_DN131100_c0_g1_i5	4.0	0.0	0.0	0.0	2.62	2.0	0.0	0.0
TRINITY_DN129538_c3_g1_i1	0.0	3.0	2.0	0.0	0.0	5.0	0.0	1.0
TRINITY_DN134571_c44_g1_i3	746.87	7.67	139.24	53.79	741.13	62.92	328.25	212.02
TRINITY_DN144747_c1_g1_i4	0.0	0.0	4.99	0.0	0.0	3.07	0.0	2.0
TRINITY_DN144771_c2_g7_i2	39.77	0.0	11.0	0.0	0.0	1.58	159.0	33.47
TRINITY_DN144754_c1_g1_i1	3.99	0.0	0.0	0.0	2.0	0.64	5.0	18.99
TRINITY_DN144811_c2_g1_i1	1.11	0.0	2.99	0.0	0.0	0.0	0.0	9.92
TRINITY_DN144811_c2_g1_i2	43.72	0.0	8.01	0.0	0.0	3.61	40.0	32.17
TRINITY_DN144823_c1_g2_i1	0.0	2.0	24.73	0.0	0.0	2.12	8.0	2.88
TRINITY_DN144825_c5_g1_i5	7.73	0.0	0.0	0.0	1.48	0.0	0.0	2.0
TRINITY_DN142823_c1_g1_i2	4.0	13.0	0.0	0.0	0.0	1.0	32.0	0.0
TRINITY_DN142739_c1_g1_i1	72.92	7.0	0.0	0.0	0.0	46.91	0.0	10.0
TRINITY_DN135950_c1_g1_i1	1.0	0.0	1.0	2.0	0.0	1.0	0.0	3.0
TRINITY_DN136156_c0_g2_i2	22.0	0.0	1.0	5.0	0.0	5.0	0.0	0.0
TRINITY_DN136118_c0_g1_i1	8.06	0.0	1.0	0.0	0.0	1.0	0.0	2.0
TRINITY_DN137258_c5_g1_i6	27.68	0.0	1.0	21.0	0.0	13.01	0.0	9.3
TRINITY_DN137631_c5_g1_i2	0.0	0.0	1.0	0.0	7.46	1.0	0.0	1.0
TRINITY_DN136903_c2_g1_i6	3.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0
TRINITY_DN136922_c1_g3_i3	1.67	0.0	0.0	0.0	2.0	0.0	3.0	0.0
TRINITY_DN134023_c3_g2_i2	0.0	0.0	1.0	0.0	0.0	7.0	0.0	1.0
TRINITY_DN144555_c1_g1_i8	24.46	0.0	0.0	0.0	1.0	87.49	0.0	0.0
TRINITY_DN144624_c4_g1_i1	14.11	0.0	0.0	0.0	14.22	16.01	0.0	0.0
TRINITY_DN144558_c2_g1_i2	0.0	0.0	0.99	0.0	0.0	5.28	0.0	1.97
TRINITY_DN144559_c1_g1_i11	1.0	0.0	1.16	0.0	6.62	0.0	0.0	2.01
TRINITY_DN144610_c1_g1_i1	27.2	0.0	1.0	0.0	0.0	0.0	1.0	48.85
TRINITY_DN131740_c0_g1_i1	2.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
TRINITY_DN144044_c6_g1_i2	8.0	0.0	1.0	0.0	6.0	8.0	0.0	1.0
TRINITY_DN144044_c6_g1_i4	24.0	0.0	1.0	0.0	0.0	12.0	0.0	2.0
TRINITY_DN144063_c5_g2_i1	38.46	30.0	6.64	99.0	0.0	6.62	7.0	0.0
TRINITY_DN142969_c1_g1_i4	0.25	0.0	0.0	0.0	0.96	0.14	0.0	0.52
TRINITY_DN143020_c3_g1_i1	1.0	0.0	0.0	28.0	0.0	0.0	0.0	5.06
TRINITY_DN143018_c39_g5_i1	418.31	82.03	31.68	0.0	0.0	59.43	77.37	377.7
TRINITY_DN143018_c39_g5_i2	59.93	651.72	0.0	681.07	0.0	40.72	372.27	0.0
TRINITY_DN143018_c44_g10_i2	9.0	1.0	0.0	0.0	0.0	1.16	3.0	0.0
TRINITY_DN130289_c0_g1_i1	2.0	0.0	0.0	0.0	8.0	0.0	0.0	1.0
TRINITY_DN131424_c0_g1_i4	1.0	0.0	0.0	0.0	2.59	1.0	0.0	0.0
TRINITY_DN138312_c4_g6_i3	12.98	0.0	8.98	0.0	0.0	5.0	0.0	3.0
TRINITY_DN143683_c0_g2_i1	2.41	0.0	22.62	0.0	0.0	1.01	0.0	18.34
TRINITY_DN143683_c0_g1_i8	0.0	0.0	4.01	0.0	0.0	2.17	0.0	3.37
TRINITY_DN141378_c0_g1_i1	5.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0
TRINITY_DN133276_c1_g1_i1	10.0	33.0	0.0	0.0	0.0	27.0	21.0	22.0
TRINITY_DN145983_c5_g3_i1	2.0	0.0	0.0	5.0	1678.92	0.0	0.0	45.0
TRINITY_DN142174_c7_g1_i1	0.99	0.93	1.91	0.0	0.0	2.17	1.12	2.43
TRINITY_DN142178_c2_g1_i3	1.56	0.0	0.0	0.0	2.52	1.15	0.0	1.34
TRINITY_DN138200_c2_g1_i1	0.0	0.0	2.0	31.0	0.0	3.0	0.0	0.0
TRINITY_DN142309_c15_g5_i3	17.24	7.0	9.0	0.0	0.0	4.24	36.0	85.22
TRINITY_DN137350_c1_g1_i5	3.0	0.0	0.0	7.0	0.0	0.0	0.0	1.0
TRINITY_DN139333_c4_g6_i1	0.0	0.0	1.0	7.0	8.29	0.0	0.0	0.0
TRINITY_DN151468_c5_g1_i1	2.98	0.0	95.29	0.0	1.0	3.3	0.0	0.0
TRINITY_DN140874_c2_g1_i5	2.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
TRINITY_DN140874_c2_g1_i6	3.0	0.0	1.0	0.0	15.02	6.0	0.0	1.0
TRINITY_DN137133_c9_g1_i1	0.0	0.0	0.0	89.0	92.0	0.0	0.0	2.0
TRINITY_DN144937_c0_g1_i11	46.11	0.0	7.74	0.0	0.0	71.95	0.0	2.0
TRINITY_DN145016_c4_g1_i1	7.2	0.0	5.03	0.0	0.0	36.85	0.0	3.1
TRINITY_DN145016_c4_g1_i5	20.28	0.0	21.49	0.0	0.0	120.12	0.0	2.9
TRINITY_DN144974_c2_g2_i18	1.81	0.0	1.13	0.0	0.0	0.0	0.0	2.94
TRINITY_DN144971_c2_g1_i1	2.0	0.0	1.0	0.0	0.0	1.0	0.0	13.59
TRINITY_DN142115_c6_g1_i3	0.0	31.0	1.0	0.0	0.0	19.0	0.0	1.0
TRINITY_DN142033_c3_g2_i1	1.0	16.0	4.0	0.0	0.0	7.0	0.0	11.0
TRINITY_DN142033_c4_g1_i1	4.0	26.0	3.0	0.0	5.0	6.0	0.0	4.0
TRINITY_DN145774_c5_g2_i5	129.52	12.0	4.0	0.0	0.0	31.9	86.0	8.57
TRINITY_DN145741_c0_g1_i2	12.55	42.27	53.09	0.0	0.0	27.89	0.0	4.89
TRINITY_DN139116_c3_g1_i4	4.0	0.0	3.0	0.0	5.0	3.0	0.0	1.0
TRINITY_DN145435_c1_g1_i3	1.77	4.75	34.68	0.0	0.0	36.56	0.0	9.75
TRINITY_DN145502_c1_g1_i5	43.4	0.0	13.89	2.0	0.0	4.88	88.5	0.0
TRINITY_DN145467_c1_g1_i7	9.93	0.0	0.0	0.0	90.52	32.48	0.0	46.96
TRINITY_DN145457_c2_g1_i4	17.01	0.0	0.0	0.0	2.35	17.93	0.0	8.46
TRINITY_DN145458_c4_g1_i1	19.38	0.0	21.68	0.0	2.92	10.37	5.0	18.33
TRINITY_DN145477_c0_g1_i4	0.0	0.0	2.0	0.0	0.0	1.2	0.0	8.16
TRINITY_DN383657_c1_g2_i1	177.97	0.0	47.39	0.0	89.33	88.78	18.0	110.85
TRINITY_DN385865_c1_g1_i1	1.13	0.0	0.93	0.0	0.0	7.02	0.0	34.11
TRINITY_DN391824_c1_g1_i1	62.86	0.0	1.0	0.0	0.0	12.0	0.0	179.27
TRINITY_DN32023_c2_g1_i2	0.0	0.0	6.33	0.0	0.0	2.0	0.0	1.0
TRINITY_DN85531_c0_g1_i1	9.0	1.0	0.0	0.0	4.99	0.0	0.0	0.0
TRINITY_DN92149_c2_g3_i1	3.11	0.0	1.0	0.0	0.0	3.83	0.0	1.31
TRINITY_DN60060_c0_g9_i1	20.28	0.0	56.0	0.0	0.0	1.0	18.0	6.01
TRINITY_DN85643_c0_g1_i1	94.01	0.0	1.0	0.0	1.0	122.99	0.0	631.99
TRINITY_DN7230_c1_g2_i2	8.0	69.0	2.0	0.0	0.0	8.06	15.0	4.0
TRINITY_DN851511_c0_g1_i1	4.0	35.0	0.0	0.0	0.0	18.0	0.0	0.0
TRINITY_DN1090249_c1_g1_i1	0.0	0.0	1.0	0.0	106.0	1.0	0.0	8.0
TRINITY_DN1091132_c10_g1_i1	25.5	0.0	1.0	0.0	4601.13	79.59	0.0	61.66
