sample	OB1	OB2	OB3	OMS1	OMS2	OMS3
AMP_145036_c19_g2_i1	99.23	3.67	6.7	8316.73	1	22.42
AMP_143096_c2_g1_i1	79.98	7	9	4480.25	1	478
AMP_1091132_c10_g1_i1	62.66	1	2	4602.13	1	26.5
AMP_145252_c3_g1_i1	3.17	1	1	3529.85	1	24.8
AMP_145036_c19_g2_i2	2.03	5.76	13.28	3284.21	1	6.24
AMP_143867_c72_g1_i3	298.96	2055	260.52	1	129.94	425.77
AMP_145857_c2_g1_i5	453.44	946.21	347.38	436.24	217.6	483.84
AMP_145272_c4_g1_i1	25	1	1	1905.09	1	10
AMP_134571_c44_g1_i3	213.02	54.79	140.24	742.13	8.67	747.87
AMP_145547_c6_g1_i1	14	1	16	1617	1	201
AMP_145700_c5_g7_i1	20.36	1	3	1810.98	1	1
AMP_145983_c5_g3_i1	46	6	1	1679.92	1	3
AMP_143867_c81_g1_i4	105.69	118	46.89	1114.78	2	97.8
AMP_143018_c39_g5_i2	1	682.07	1	1	652.72	60.93
AMP_145347_c5_g1_i1	3	1	1	1115.59	1	17.02
AMP_142228_c6_g1_i2	77.64	1	6	1012.06	3	14.26
AMP_144291_c5_g7_i1	19.98	1	1	1047.5	1	22.52
AMP_145803_c5_g1_i4	125.21	2	1	573.77	1	294.45
AMP_145470_c2_g1_i4	7.03	2	1	918.91	1	3
AMP_143018_c39_g5_i1	378.7	1	32.68	1	83.03	419.31
AMP_144653_c7_g8_i1	18.49	1	37.91	407.68	56	306.77
AMP_145422_c2_g1_i16	299.32	6.73	26.52	20.78	20.24	442.1
AMP_85643_c0_g1_i1	632.99	1	2	2	1	95.01
AMP_144933_c6_g1_i2	1	1	1	2	1	716.23
AMP_612198_c2_g1_i1	14.48	1	1	514.04	1	105.75
AMP_145291_c1_g1_i13	13.79	1	1	606.19	1	12.01
AMP_145839_c0_g1_i20	4.88	1	1	619.06	1	5.8
AMP_145245_c6_g1_i2	10.31	7	11.41	419.74	1	155.25
AMP_145291_c1_g1_i10	12.22	1	1	580.28	1	6.56
AMP_144415_c2_g1_i4	27.7	1	1	523.06	1	31.84
