sample	NW 1	NW 2	O 1	O 2	O 3	OMS 1	OMS 2	OMS 3
AMP_138200_c2_g1_i1	4	1	1	32	3	1	1	1
AMP_143020_c3_g1_i1	1	1	6.06	29	1	1	1	2
AMP_144897_c3_g1_i5	13.85	2.02	15	2	26.37	1	1	1
AMP_143683_c0_g2_i1	2.01	1	19.34	1	23.62	1	1	3.41
AMP_141075_c3_g1_i1	39.82	1	18.21	26.15	1	2	1	5
AMP_385865_c1_g1_i1	8.02	1	35.11	1	1.93	1	1	2.13
AMP_125192_c2_g1_i1	9	1	1	1	1	2	1	30
AMP_145575_c0_g1_i3	4.69	1	1	1	1	12.23	1	7.99
AMP_142823_c1_g1_i2	2	33	1	1	1	1	14	5
AMP_144624_c4_g1_i1	17.01	1	1	1	1	15.22	1	15.11
AMP_145062_c3_g1_i3	1	1	1.02	1	1	14.57	1	16.77
AMP_142526_c5_g1_i7	2	1	3	1	1	33.13	1	3
AMP_144187_c0_g1_i10	2	1	1	1	1	22.33	1	5.18
AMP_142115_c6_g1_i3	20	1	2	1	2	1	32	1
AMP_133076_c0_g4_i1	1	1	2.15	1	3	43.46	1	31
AMP_144483_c7_g1_i1	26.2	10	1	1	1	1	20	11
AMP_144653_c7_g8_i1	80.05	214	18.49	1	37.91	407.68	56	306.77
AMP_7230_c1_g2_i2	9.06	16	5	1	3	1	70	9
AMP_138681_c7_g1_i1	53	1	6	1	1	1	58	3
AMP_145245_c6_g1_i2	61.99	43	10.31	7	11.41	419.74	1	155.25
AMP_851511_c0_g1_i1	19	1	1	1	1	1	36	5
AMP_145391_c5_g1_i9	1	1	1	1	1	126.58	9.05	9.38
AMP_145055_c3_g1_i3	2.35	1	1	1	1	137.24	1	51
AMP_612198_c2_g1_i1	21.86	1	14.48	1	1	514.04	1	105.75
AMP_143096_c2_g1_i1	45.31	1	79.98	7	9	4480.25	1	478
